Show,Week,Theater,This Week Gross,Potential Gross,Diff $,Avg Ticket,Top Ticket,Seats Sold,Seats in Theatre,Performances,Previews,% Cap,Diff % cap,Genre,Number of Awards,Awards,Season,Month
Wicked,2025-05-04,Gershwin Theatre,"$2,232,068.00",,"-$345,699.00",$144.86,$352.00,"15,408","1,926",8,0,100.00%,0.00%,Original,33,1,Spring,5
The Picture of Dorian Gray,2025-05-04,Music Box Theatre,"$1,344,831.26",,"$25,612.38",$168.06,$497.00,"8,002",995,8,0,100.53%,-0.14%,Play,17,1,Spring,5
The Outsiders,2025-05-04,Bernard B. Jacobs Theatre,"$1,124,988.24",,"-$204,211.86",$138.00,$497.00,"8,152","1,024",8,0,99.51%,-2.30%,Original,31,1,Spring,5
The Lion King,2025-05-04,Minskoff Theatre,"$1,999,729.00",,"-$320,876.00",$153.10,$222.00,"13,062","1,696",8,0,96.27%,-2.15%,Original,32,1,Spring,5
The Last Five Years,2025-05-04,Hudson Theatre,"$613,501.45",,"-$146,227.05",$94.46,$425.00,"6,495",968,8,0,83.87%,-8.70%,One Act,3,1,Spring,5
The Great Gatsby,2025-05-04,Broadway Theatre,"$908,293.65",,"-$208,758.16",$91.50,$277.00,"9,927","1,485",8,0,83.56%,-12.10%,Original,7,1,Spring,5
The Book of Mormon,2025-05-04,Eugene O'Neill Theatre,"$720,185.46",,"-$118,646.64",$98.80,$229.00,"7,289","1,066",8,0,85.47%,-7.83%,Original,36,1,Spring,5
Sunset Boulevard,2025-05-04,St. James Theatre,"$1,020,970.88",,"$25,158.18",$95.49,$0.00,"10,692","1,648",8,0,81.10%,-2.61%,Revival,24,1,Spring,5
Stranger Things: The First Shadow,2025-05-04,Marquis Theatre,"$906,491.82",,"-$174,228.21",$92.48,$281.00,"9,802","1,594",8,0,76.87%,-18.53%,Original,20,1,Spring,5
Stephen Sondheim's Old Friends,2025-05-04,Samuel J. Friedman Theatre,"$595,908.00",,"-$62,008.00",$120.07,$400.00,"4,963",643,8,0,96.48%,-1.58%,Original,4,1,Spring,5
Smash,2025-05-04,Imperial Theatre,"$909,705.03",,"-$71,269.67",$102.42,$305.00,"8,882","1,411",8,0,78.69%,-4.08%,Original,10,1,Spring,5
SIX: The Musical,2025-05-04,Lena Horne Theatre,"$618,732.00",,"-$111,818.70",$98.48,$269.00,"6,283","1,031",8,0,76.18%,-5.78%,One Act,28,1,Spring,5
Redwood,2025-05-04,Nederlander Theatre,"$565,168.95",,"-$77,758.10",$79.66,$374.00,"7,095","1,153",8,0,76.92%,1.62%,One Act,3,1,Spring,5
Real Women Have Curves,2025-05-04,James Earl Jones Theatre,"$317,422.10",,"-$50,544.33",$52.83,$275.00,"6,008","1,055",8,0,71.18%,-14.65%,Original,11,1,Spring,5
Purpose,2025-05-04,Helen Hayes Theater,"$420,256.30",,"-$30,373.70",$99.78,$280.00,"4,212",581,8,0,90.62%,3.89%,Original,19,1,Spring,5
Pirates! The Penzance Musical,2025-05-04,Todd Haimes Theatre,"$471,585.60",,"-$16,688.90",$85.00,$344.00,"5,548",727,8,0,95.39%,-2.65%,Revival,13,1,Spring,5
Othello,2025-05-04,Ethel Barrymore Theatre,"$3,065,728.00",,"-$56,317.00",$367.42,$897.00,"8,344","1,043",8,0,100.00%,0.00%,Revival,3,1,Spring,5
Operation Mincemeat,2025-05-04,John Golden Theatre,"$744,470.51",,"-$49,023.45",$123.20,$325.00,"6,043",790,8,0,95.62%,-0.91%,Musical,17,1,Spring,5
"Oh, Mary!",2025-05-04,Lyceum Theatre,"$1,041,790.44",,"-$15,438.90",$146.07,$375.00,"7,132",895,8,0,99.61%,-0.08%,Comedy,9,1,Spring,5
Moulin Rouge! The Musical,2025-05-04,Al Hirschfeld Theatre,"$1,178,861.50",,"-$35,162.00",$117.29,$0.00,"10,051","1,300",8,0,96.64%,-0.45%,Original,24,1,Spring,5
MJ The Musical,2025-05-04,Neil Simon Theatre,"$1,227,846.10",,"-$272,219.50",$125.28,$269.00,"9,801","1,387",8,0,88.33%,-6.05%,Original,30,1,Spring,5
Maybe Happy Ending,2025-05-04,Belasco Theatre,"$903,408.00",,"$10,654.61",$119.25,$297.00,"7,576",973,8,0,97.33%,3.68%,One Act,34,1,Spring,5
Just in Time,2025-05-04,Circle in the Square Theatre,"$1,119,011.00",,"$213,493.90",$196.15,$496.50,"5,705",690,8,0,103.35%,-2.83%,Original,25,1,Spring,5
John Proctor is the Villain,2025-05-04,Booth Theatre,"$502,586.48",,"-$13,767.69",$84.85,$375.00,"5,923",772,8,0,95.90%,-1.72%,One Act,15,1,Spring,5
Hell's Kitchen,2025-05-04,Sam S. Shubert Theatre,"$911,779.35",,"-$270,836.69",$91.94,$297.00,"9,917","1,457",8,0,85.08%,-8.36%,Original,26,1,Spring,5
Harry Potter and the Cursed Child,2025-05-04,Lyric Theatre,"$814,959.90",,"-$196,990.70",$88.23,$219.00,"9,237","1,622",8,0,71.19%,-10.90%,Original,33,1,Spring,5
Hamilton,2025-05-04,Richard Rodgers Theatre,"$1,674,491.00",,"-$308,925.00",$165.73,$325.00,"10,104","1,324",8,0,95.39%,-4.70%,Original,46,1,Spring,5
Hadestown,2025-05-04,Walter Kerr Theatre,"$614,059.50",,"-$177,407.00",$93.71,$0.00,"6,553",901,8,0,90.91%,-6.83%,Original,39,1,Spring,5
Gypsy,2025-05-04,Majestic Theatre,"$1,117,085.20",,"-$123,341.16",$113.68,$397.00,"9,827","1,590",8,0,77.26%,5.29%,Revival,19,1,Spring,5
"Good Night, and Good Luck",2025-05-04,Winter Garden Theatre,"$4,003,481.50",,"$62,540.00",$319.36,$825.00,"12,536","1,537",8,0,101.95%,0.07%,One Act,10,1,Spring,5
Glengarry Glen Ross,2025-05-04,Palace Theatre,"$2,326,856.00",,"$19,904.00",$228.50,$799.00,"10,183","1,306",8,0,97.46%,-1.85%,Drama,5,1,Spring,5
Floyd Collins,2025-05-04,Vivian Beaumont Theater,"$501,742.00",,"-$10,667.00",$87.20,$277.00,"5,754","1,057",8,0,68.05%,-13.81%,Revival,14,1,Spring,5
Death Becomes Her,2025-05-04,Lunt-Fontanne Theatre,"$1,076,188.35",,"-$100,367.75",$100.33,$275.00,"10,726","1,491",8,0,89.92%,-1.70%,Musical,33,1,Spring,5
Dead Outlaw,2025-05-04,Longacre Theatre,"$484,688.50",,"$41,953.20",$67.39,$297.00,"7,192","1,048",8,0,85.78%,-5.33%,One Act,9,1,Spring,5
Chicago,2025-05-04,Ambassador Theatre,"$584,500.85",,"-$86,738.05",$98.78,$237.00,"5,917","1,080",8,0,68.48%,-9.01%,Revival,25,1,Spring,5
Cabaret,2025-05-04,August Wilson Theatre,"$750,986.00",,"-$141,176.00",$109.89,$0.00,"6,834","1,070",8,0,79.84%,-9.98%,Revival,22,1,Spring,5
Buena Vista Social Club,2025-05-04,Gerald Schoenfeld Theatre,"$1,075,909.40",,"$32,712.50",$134.69,$347.00,"7,988","1,049",8,0,95.19%,0.99%,Original,19,1,Spring,5
BOOP! The Musical,2025-05-04,Broadhurst Theatre,"$508,021.60",,"-$41,807.78",$70.76,$297.00,"7,180","1,137",8,0,78.94%,2.85%,Original,29,1,Spring,5
Aladdin,2025-05-04,New Amsterdam Theatre,"$1,283,449.60",,"-$225,765.30",$98.87,$225.50,"12,981","1,727",8,0,93.96%,-4.94%,Original,23,1,Spring,5
& Juliet,2025-05-04,Stephen Sondheim Theatre,"$781,751.30",,"-$252,741.30",$104.29,$324.00,"7,496","1,026",8,0,91.33%,-7.28%,Original,22,1,Spring,5
Wicked,2025-04-27,Gershwin Theatre,"$2,577,767.00",,"-$755,510.00",$167.30,$352.00,"15,408","1,926",8,0,100.00%,0.00%,Original,33,1,Spring,4
The Picture of Dorian Gray,2025-04-27,Music Box Theatre,"$1,319,218.88",,"$180,140.88",$188.14,$497.00,"7,012",995,7,0,100.67%,-0.13%,Play,17,1,Spring,4
The Outsiders,2025-04-27,Bernard B. Jacobs Theatre,"$1,329,200.10",,"-$125,680.88",$159.38,$497.00,"8,340","1,024",8,0,101.81%,-0.40%,Original,31,1,Spring,4
The Lion King,2025-04-27,Minskoff Theatre,"$2,320,605.00",,"-$619,892.00",$173.79,$259.00,"13,353","1,696",8,0,98.42%,-0.56%,Original,32,1,Spring,4
The Last Five Years,2025-04-27,Hudson Theatre,"$759,728.50",,"-$45,608.35",$105.97,$425.00,"7,169",968,8,0,92.57%,-2.39%,One Act,3,1,Spring,4
The Great Gatsby,2025-04-27,Broadway Theatre,"$1,117,051.81",,"-$159,446.98",$98.30,$277.00,"11,364","1,485",8,0,95.66%,-0.80%,Original,7,1,Spring,4
The Book of Mormon,2025-04-27,Eugene O'Neill Theatre,"$838,832.10",,"-$139,727.45",$105.42,$249.00,"7,957","1,066",8,0,93.30%,-4.31%,Original,36,1,Spring,4
Sunset Boulevard,2025-04-27,St. James Theatre,"$995,812.70",,"$382,293.70",$103.12,$0.00,"9,657","1,648",7,0,83.71%,-2.01%,Revival,24,1,Spring,4
Stranger Things: The First Shadow,2025-04-27,Marquis Theatre,"$1,080,720.03",,"-$74,649.48",$88.84,$281.00,"12,165","1,594",7,1,95.40%,-4.73%,Original,20,1,Spring,4
Stephen Sondheim's Old Friends,2025-04-27,Samuel J. Friedman Theatre,"$657,916.00",,"$59,281.00",$130.44,$400.00,"5,044",643,8,0,98.06%,8.75%,Original,4,1,Spring,4
Smash,2025-04-27,Imperial Theatre,"$980,974.70",,"-$34,617.20",$105.00,$305.00,"9,343","1,411",8,0,82.77%,-5.52%,Original,10,1,Spring,4
SIX: The Musical,2025-04-27,Lena Horne Theatre,"$730,550.70",,"-$192,659.55",$108.07,$269.00,"6,760","1,031",8,0,81.96%,-10.47%,One Act,28,1,Spring,4
Redwood,2025-04-27,Nederlander Theatre,"$642,927.05",,"-$59,833.10",$92.56,$374.00,"6,946","1,153",8,0,75.30%,-7.83%,One Act,3,1,Spring,4
Real Women Have Curves,2025-04-27,James Earl Jones Theatre,"$367,966.43",,"$8,307.27",$50.80,$275.00,"7,244","1,055",1,7,85.83%,12.44%,Original,11,1,Spring,4
Purpose,2025-04-27,Helen Hayes Theater,"$450,630.00",,"$40,006.00",$111.79,$330.00,"4,031",581,8,0,86.73%,-6.82%,Original,19,1,Spring,4
Pirates! The Penzance Musical,2025-04-27,Todd Haimes Theatre,"$488,274.50",,"-$21,601.40",$85.63,$312.00,"5,702",727,5,3,98.04%,0.86%,Revival,13,1,Spring,4
Othello,2025-04-27,Ethel Barrymore Theatre,"$3,122,045.00",,"-$6,884.38",$374.17,$897.00,"8,344","1,043",8,0,100.00%,0.28%,Revival,3,1,Spring,4
Operation Mincemeat,2025-04-27,John Golden Theatre,"$793,493.96",,"-$19,094.80",$130.06,$475.00,"6,101",790,8,0,96.53%,-3.00%,Musical,17,1,Spring,4
"Oh, Mary!",2025-04-27,Lyceum Theatre,"$1,057,229.34",,"-$55,789.46",$148.11,$375.00,"7,138",895,8,0,99.69%,-0.09%,Comedy,9,1,Spring,4
Moulin Rouge! The Musical,2025-04-27,Al Hirschfeld Theatre,"$1,214,023.50",,"-$160,653.10",$120.24,$0.00,"10,097","1,300",8,0,97.09%,-2.35%,Original,24,1,Spring,4
MJ The Musical,2025-04-27,Neil Simon Theatre,"$1,500,065.60",,"-$219,798.50",$143.25,$329.00,"10,472","1,387",8,0,94.38%,-3.40%,Original,30,1,Spring,4
Maybe Happy Ending,2025-04-27,Belasco Theatre,"$892,753.39",,"-$82,335.21",$122.46,$297.00,"7,290",973,8,0,93.65%,-5.90%,One Act,34,1,Spring,4
Just in Time,2025-04-27,Circle in the Square Theatre,"$905,517.10",,"$57,705.30",$159.11,$496.50,"5,691",670,2,6,106.18%,2.79%,Original,25,1,Spring,4
John Proctor is the Villain,2025-04-27,Booth Theatre,"$516,354.17",,"$20,643.64",$85.65,$305.00,"6,029",772,8,0,97.62%,-3.63%,One Act,15,1,Spring,4
Hell's Kitchen,2025-04-27,Sam S. Shubert Theatre,"$1,182,616.04",,"-$5,122.67",$108.59,$297.00,"10,891","1,457",8,0,93.44%,-3.31%,Original,26,1,Spring,4
Harry Potter and the Cursed Child,2025-04-27,Lyric Theatre,"$1,011,950.60",,"-$600,769.85",$108.57,$269.00,"9,321","1,622",7,0,82.09%,-16.72%,Original,33,1,Spring,4
Hamilton,2025-04-27,Richard Rodgers Theatre,"$1,983,416.00",,"-$180,877.00",$187.08,$349.00,"10,602","1,324",8,0,100.09%,-1.18%,Original,46,1,Spring,4
Hadestown,2025-04-27,Walter Kerr Theatre,"$791,466.50",,"-$101,973.00",$110.26,$0.00,"7,178",918,8,0,97.74%,-1.35%,Original,39,1,Spring,4
Gypsy,2025-04-27,Majestic Theatre,"$1,240,426.36",,"$74,611.60",$135.49,$397.00,"9,155","1,590",8,0,71.97%,-5.37%,Revival,19,1,Spring,4
"Good Night, and Good Luck",2025-04-27,Winter Garden Theatre,"$3,940,941.50",,"$58,851.36",$314.60,$825.00,"12,527","1,537",8,0,101.88%,-0.04%,One Act,10,1,Spring,4
Glengarry Glen Ross,2025-04-27,Palace Theatre,"$2,306,952.00",,"-$55,564.00",$222.34,$699.00,"10,376","1,306",8,0,99.31%,-0.45%,Drama,5,1,Spring,4
Floyd Collins,2025-04-27,Vivian Beaumont Theater,"$512,409.00",,"-$60,698.00",$74.03,$277.00,"6,922","1,057",8,0,81.86%,-4.02%,Revival,14,1,Spring,4
Death Becomes Her,2025-04-27,Lunt-Fontanne Theatre,"$1,176,556.10",,"$39,134.55",$107.65,$299.00,"10,929","1,491",8,0,91.62%,-1.94%,Musical,33,1,Spring,4
Dead Outlaw,2025-04-27,Longacre Theatre,"$442,735.30",,"$37,325.10",$57.96,$297.00,"7,639","1,048",1,7,91.11%,-7.67%,One Act,9,1,Spring,4
Chicago,2025-04-27,Ambassador Theatre,"$671,238.90",,"-$213,767.78",$100.26,$237.00,"6,695","1,080",8,0,77.49%,-14.82%,Revival,25,1,Spring,4
Cabaret,2025-04-27,August Wilson Theatre,"$892,162.00",,"-$150,651.80",$116.03,$0.00,"7,689","1,070",8,0,89.82%,-6.85%,Revival,22,1,Spring,4
Buena Vista Social Club,2025-04-27,Gerald Schoenfeld Theatre,"$1,043,196.90",,"-$29,354.10",$131.97,$375.00,"7,905","1,049",8,0,94.20%,-5.37%,Original,19,1,Spring,4
BOOP! The Musical,2025-04-27,Broadhurst Theatre,"$549,829.38",,"-$109,977.02",$79.44,$297.00,"6,921","1,137",8,0,76.09%,-9.23%,Original,29,1,Spring,4
Aladdin,2025-04-27,New Amsterdam Theatre,"$1,509,214.90",,"-$518,508.00",$110.45,$225.50,"13,664","1,727",8,0,98.90%,0.26%,Original,23,1,Spring,4
& Juliet,2025-04-27,Stephen Sondheim Theatre,"$1,034,492.60",,"-$82,933.80",$127.81,$324.00,"8,094","1,026",8,0,98.61%,0.02%,Original,22,1,Spring,4
Wicked,2025-04-20,Gershwin Theatre,"$3,333,277.00",,"$870,416.00",$192.30,$352.00,"17,334","1,926",9,0,100.00%,0.00%,Original,33,1,Spring,4
The Picture of Dorian Gray,2025-04-20,Music Box Theatre,"$1,139,078.00",,"-$240,733.92",$189.28,$497.00,"6,018",995,6,0,100.80%,0.34%,Play,17,1,Spring,4
The Outsiders,2025-04-20,Bernard B. Jacobs Theatre,"$1,454,880.98",,"$132,436.68",$173.76,$497.00,"8,373","1,024",8,0,102.21%,1.42%,Original,31,1,Spring,4
The Lion King,2025-04-20,Minskoff Theatre,"$2,940,497.00",,"$850,594.00",$194.62,$339.00,"15,109","1,696",9,0,98.98%,2.44%,Original,32,1,Spring,4
The Last Five Years,2025-04-20,Hudson Theatre,"$805,336.85",,"-$17,417.35",$109.51,$425.00,"7,354",968,8,0,94.96%,-0.24%,One Act,3,1,Spring,4
The Great Gatsby,2025-04-20,Broadway Theatre,"$1,276,498.79",,"$206,271.68",$111.40,$344.00,"11,459","1,485",8,0,96.46%,4.85%,Original,7,1,Spring,4
The Book of Mormon,2025-04-20,Eugene O'Neill Theatre,"$978,559.55",,"$155,920.08",$117.56,$269.00,"8,324","1,066",8,0,97.61%,6.70%,Original,36,1,Spring,4
Sunset Boulevard,2025-04-20,St. James Theatre,"$613,519.00",,"-$400,234.40",$68.09,$0.00,"9,011","1,314",8,0,85.72%,10.90%,Revival,24,1,Spring,4
Stranger Things: The First Shadow,2025-04-20,Marquis Theatre,"$1,155,369.51",,"$317,282.20",$103.41,$271.00,"11,173","1,594",0,7,100.13%,7.80%,Original,20,1,Spring,4
Stephen Sondheim's Old Friends,2025-04-20,Samuel J. Friedman Theatre,"$598,635.00",,"$177,789.00",$130.31,$400.00,"4,594",643,8,0,89.31%,2.51%,Original,4,1,Spring,4
Smash,2025-04-20,Imperial Theatre,"$1,015,591.90",,"$97,863.64",$101.91,$305.00,"9,966","1,411",8,0,88.29%,-5.55%,Original,10,1,Spring,4
SIX: The Musical,2025-04-20,Lena Horne Theatre,"$923,210.25",,"$129,573.25",$121.09,$269.00,"7,624","1,031",8,0,92.43%,5.46%,One Act,28,1,Spring,4
Redwood,2025-04-20,Nederlander Theatre,"$702,760.15",,"$107,294.23",$91.65,$374.00,"7,668","1,153",8,0,83.13%,12.62%,One Act,3,1,Spring,4
Real Women Have Curves,2025-04-20,James Earl Jones Theatre,"$359,659.16",,"-$4,688.79",$58.07,$275.00,"6,194","1,055",0,8,73.39%,-1.53%,Original,11,1,Spring,4
Purpose,2025-04-20,Helen Hayes Theater,"$410,624.00",,"$5,153.75",$94.44,$280.00,"4,348",581,8,0,93.55%,3.04%,Original,19,1,Spring,4
Pirates! The Penzance Musical,2025-04-20,Todd Haimes Theatre,"$509,875.90",,"$91,911.60",$90.21,$295.00,"5,652",727,0,8,97.18%,1.01%,Revival,13,1,Spring,4
Othello,2025-04-20,Ethel Barrymore Theatre,"$3,128,929.38",,"$8,608.14",$376.03,$897.00,"8,321","1,043",8,0,99.72%,0.06%,Revival,3,1,Spring,4
Operation Mincemeat,2025-04-20,John Golden Theatre,"$812,588.76",,"$66,470.97",$129.19,$325.00,"6,290",790,8,0,99.53%,3.25%,Musical,17,1,Spring,4
"Oh, Mary!",2025-04-20,Lyceum Theatre,"$1,113,018.80",,"$19,835.54",$155.80,$375.00,"7,144",895,8,0,99.78%,0.10%,Comedy,9,1,Spring,4
Moulin Rouge! The Musical,2025-04-20,Al Hirschfeld Theatre,"$1,374,676.60",,"$279,132.25",$132.92,$0.00,"10,342","1,300",8,0,99.44%,5.71%,Original,24,1,Spring,4
MJ The Musical,2025-04-20,Neil Simon Theatre,"$1,719,864.10",,"$416,896.40",$158.51,$329.00,"10,850","1,387",8,0,97.78%,10.99%,Original,30,1,Spring,4
Maybe Happy Ending,2025-04-20,Belasco Theatre,"$975,088.60",,"$100,241.45",$125.83,$297.00,"7,749",973,8,0,99.55%,5.73%,One Act,34,1,Spring,4
Just in Time,2025-04-20,Circle in the Square Theatre,"$847,811.80",,"$39,512.80",$174.84,$474.50,"4,849",670,0,7,103.39%,2.60%,Original,25,1,Spring,4
John Proctor is the Villain,2025-04-20,Booth Theatre,"$495,710.53",,"$90,903.53",$79.28,$267.00,"6,253",772,8,0,101.25%,-0.19%,One Act,15,1,Spring,4
Hell's Kitchen,2025-04-20,Sam S. Shubert Theatre,"$1,187,738.71",,"$190,224.97",$105.32,$297.00,"11,277","1,457",8,0,96.75%,9.93%,Original,26,1,Spring,4
Harry Potter and the Cursed Child,2025-04-20,Lyric Theatre,"$1,612,720.45",,"$547,183.05",$125.78,$269.00,"12,822","1,622",8,0,98.81%,19.37%,Original,33,1,Spring,4
Hamilton,2025-04-20,Richard Rodgers Theatre,"$2,164,293.00",,"$211,020.00",$201.78,$399.00,"10,726","1,324",8,0,101.27%,3.44%,Original,46,1,Spring,4
Hadestown,2025-04-20,Walter Kerr Theatre,"$893,439.50",,"$95,160.00",$122.78,$0.00,"7,277",918,8,0,99.09%,3.30%,Original,39,1,Spring,4
Gypsy,2025-04-20,Majestic Theatre,"$1,165,814.76",,"$10,975.34",$118.50,$397.00,"9,838","1,590",8,0,77.34%,2.43%,Revival,19,1,Spring,4
"Good Night, and Good Luck",2025-04-20,Winter Garden Theatre,"$3,882,090.14",,"$98,062.26",$309.77,$825.00,"12,532","1,537",8,0,101.92%,0.49%,One Act,10,1,Spring,4
Glengarry Glen Ross,2025-04-20,Palace Theatre,"$2,362,516.00",,"$154,317.00",$226.66,$699.00,"10,423","1,306",8,0,99.76%,0.00%,Drama,5,1,Spring,4
Floyd Collins,2025-04-20,Vivian Beaumont Theater,"$573,107.00",,"$85,853.00",$78.92,$277.00,"7,262","1,057",0,8,85.88%,11.74%,Revival,14,1,Spring,4
Death Becomes Her,2025-04-20,Lunt-Fontanne Theatre,"$1,137,421.55",,"$27,704.15",$101.92,$275.00,"11,160","1,491",8,0,93.56%,2.61%,Musical,33,1,Spring,4
Dead Outlaw,2025-04-20,Longacre Theatre,"$405,410.20",,"$298,971.90",$65.27,$297.00,"6,211","1,048",0,6,98.78%,-1.22%,One Act,9,1,Spring,4
Chicago,2025-04-20,Ambassador Theatre,"$885,006.68",,"$256,399.83",$110.96,$237.00,"7,976","1,080",8,0,92.31%,19.54%,Revival,25,1,Spring,4
Cabaret,2025-04-20,August Wilson Theatre,"$1,042,813.80",,"$196,180.40",$126.02,$0.00,"8,275","1,070",8,0,96.67%,6.16%,Revival,22,1,Spring,4
Buena Vista Social Club,2025-04-20,Gerald Schoenfeld Theatre,"$1,072,551.00",,"$113,686.35",$128.36,$325.00,"8,356","1,049",8,0,99.57%,7.59%,Original,19,1,Spring,4
BOOP! The Musical,2025-04-20,Broadhurst Theatre,"$659,806.40",,"$111,089.83",$85.02,$297.00,"7,761","1,137",8,0,85.32%,1.91%,Original,29,1,Spring,4
Aladdin,2025-04-20,New Amsterdam Theatre,"$2,027,722.90",,"$602,371.90",$132.25,$249.50,"15,332","1,727",9,0,98.64%,2.66%,Original,23,1,Spring,4
& Juliet,2025-04-20,Stephen Sondheim Theatre,"$1,117,426.40",,"$210,899.70",$138.09,$324.00,"8,092","1,026",8,0,98.59%,4.17%,Original,22,1,Spring,4
Wicked,2025-04-13,Gershwin Theatre,"$2,462,861.00",,"-$13,820.00",$159.84,$352.00,"15,408","1,926",8,0,100.00%,0.00%,Original,33,1,Spring,4
The Picture of Dorian Gray,2025-04-13,Music Box Theatre,"$1,379,811.92",,"$161,311.04",$172.54,$497.00,"7,997",995,8,0,100.46%,-0.13%,Play,17,1,Spring,4
The Outsiders,2025-04-13,Bernard B. Jacobs Theatre,"$1,322,444.30",,"-$28,391.44",$160.16,$497.00,"8,257","1,024",8,0,100.79%,-0.78%,Original,31,1,Spring,4
The Lion King,2025-04-13,Minskoff Theatre,"$2,089,903.00",,"$103,689.75",$159.55,$275.00,"13,099","1,696",8,0,96.54%,-0.08%,Original,32,1,Spring,4
The Last Five Years,2025-04-13,Hudson Theatre,"$822,754.20",,"$108,754.55",$111.61,$425.00,"7,372",968,8,0,95.20%,-2.13%,One Act,3,1,Spring,4
The Great Gatsby,2025-04-13,Broadway Theatre,"$1,070,227.11",,$581.39,$98.34,$344.00,"10,883","1,485",8,0,91.61%,-1.40%,Original,7,1,Spring,4
The Book of Mormon,2025-04-13,Eugene O'Neill Theatre,"$822,639.47",,"-$2,694.73",$106.11,$249.00,"7,753","1,066",8,0,90.91%,0.54%,Original,36,1,Spring,4
Sunset Boulevard,2025-04-13,St. James Theatre,"$1,013,753.40",,"$1,207.80",$102.77,$0.00,"9,864","1,648",8,0,74.82%,-3.85%,Revival,24,1,Spring,4
Stranger Things: The First Shadow,2025-04-13,Marquis Theatre,"$838,087.31",,"$161,163.83",$113.89,$271.00,"7,359","1,594",0,5,92.33%,-4.16%,Original,20,1,Spring,4
Stephen Sondheim's Old Friends,2025-04-13,Samuel J. Friedman Theatre,"$420,846.00",,"-$102,235.70",$107.29,$400.00,"3,907",643,7,0,86.80%,-12.36%,Original,4,1,Spring,4
Smash,2025-04-13,Imperial Theatre,"$917,728.26",,"$25,110.10",$86.64,$305.00,"10,593","1,411",4,4,93.84%,4.81%,Original,10,1,Spring,4
SIX: The Musical,2025-04-13,Lena Horne Theatre,"$793,637.00",,"$7,134.70",$110.64,$269.00,"7,173","1,031",8,0,86.97%,1.60%,One Act,28,1,Spring,4
Redwood,2025-04-13,Nederlander Theatre,"$595,465.92",,"-$134,904.84",$91.55,$374.00,"6,504","1,153",8,0,70.51%,-8.70%,One Act,3,1,Spring,4
Real Women Have Curves,2025-04-13,James Earl Jones Theatre,"$364,347.95",,"-$7,146.69",$57.62,$275.00,"6,323","1,055",0,8,74.92%,-2.86%,Original,11,1,Spring,4
Purpose,2025-04-13,Helen Hayes Theater,"$405,470.25",,"$1,004.25",$96.38,$280.00,"4,207",581,8,0,90.51%,-0.11%,Original,19,1,Spring,4
Pirates! The Penzance Musical,2025-04-13,Todd Haimes Theatre,"$417,964.30",,"$195,007.50",$85.40,$337.00,"4,894",727,0,7,96.17%,-3.83%,Revival,13,1,Spring,4
Othello,2025-04-13,Ethel Barrymore Theatre,"$3,120,321.24",,"-$59,586.88",$375.22,$897.00,"8,316","1,043",8,0,99.66%,0.14%,Revival,3,1,Spring,4
Operation Mincemeat,2025-04-13,John Golden Theatre,"$746,117.79",,"-$27,748.63",$122.62,$325.00,"6,085",790,8,0,96.28%,-1.25%,Musical,17,1,Spring,4
"Oh, Mary!",2025-04-13,Lyceum Theatre,"$1,093,183.26",,"-$71,197.24",$153.17,$375.00,"7,137",895,8,0,99.68%,-0.32%,Comedy,9,1,Spring,4
Moulin Rouge! The Musical,2025-04-13,Al Hirschfeld Theatre,"$1,095,544.35",,"$40,238.10",$112.39,$0.00,"9,748","1,300",8,0,93.73%,5.11%,Original,24,1,Spring,4
MJ The Musical,2025-04-13,Neil Simon Theatre,"$1,302,967.70",,"$132,476.50",$135.30,$329.00,"9,630","1,387",8,0,86.79%,-0.20%,Original,30,1,Spring,4
Maybe Happy Ending,2025-04-13,Belasco Theatre,"$874,847.15",,"-$35,999.40",$119.79,$297.00,"7,303",973,8,0,93.82%,-3.01%,One Act,34,1,Spring,4
Just in Time,2025-04-13,Circle in the Square Theatre,"$808,299.00",,"-$93,673.50",$171.00,$474.50,"4,727",670,0,7,100.79%,0.53%,Original,25,1,Spring,4
John Proctor is the Villain,2025-04-13,Booth Theatre,"$404,807.00",,"$34,105.67",$64.61,$267.00,"6,265",772,0,8,101.44%,0.84%,One Act,15,1,Spring,4
Hell's Kitchen,2025-04-13,Sam S. Shubert Theatre,"$997,513.74",,"$46,080.58",$98.57,$297.00,"10,120","1,457",8,0,86.82%,9.25%,Original,26,1,Spring,4
Harry Potter and the Cursed Child,2025-04-13,Lyric Theatre,"$1,065,537.40",,"$79,989.55",$103.37,$208.00,"10,308","1,622",8,0,79.44%,-0.95%,Original,33,1,Spring,4
Hamilton,2025-04-13,Richard Rodgers Theatre,"$1,953,273.00",,"-$12,521.00",$188.50,$375.00,"10,362","1,324",8,0,97.83%,-0.26%,Original,46,1,Spring,4
Hadestown,2025-04-13,Walter Kerr Theatre,"$798,279.50",,"-$6,402.50",$113.47,$0.00,"7,035",918,8,0,95.79%,-2.68%,Original,39,1,Spring,4
Gypsy,2025-04-13,Majestic Theatre,"$1,154,839.42",,"-$7,089.98",$121.19,$397.00,"9,529","1,590",8,0,74.91%,3.42%,Revival,19,1,Spring,4
"Good Night, and Good Luck",2025-04-13,Winter Garden Theatre,"$3,784,027.88",,"$648,491.88",$303.40,$825.00,"12,472","1,537",8,0,101.43%,-0.29%,One Act,10,1,Spring,4
Glengarry Glen Ross,2025-04-13,Palace Theatre,"$2,208,199.00",,"$418,624.00",$211.86,$699.00,"10,423","1,306",8,0,99.76%,-0.83%,Drama,5,1,Spring,4
